topic,rank,word,weight
0,1,bank,47.836293136426335
0,2,prices,43.06871602347924
0,3,rates,39.53171817665355
0,4,economy,39.26777043511922
0,5,price,30.068155078458506
0,6,rate,28.85483331815465
0,7,percent,24.290275294840903
0,8,people,22.36408344039565
0,9,goods,20.51232144682443
0,10,does,18.49474610465714
0,11,money,16.518447287908927
0,12,cost,15.51181237750775
0,13,time,15.447655368445615
0,14,rising,14.257256500553114
0,15,services,13.920524765881945
1,1,act,27.854204234902635
1,2,energy,24.734308331271905
1,3,inflation reduction,24.572000079555455
1,4,reduction,24.572000079555455
1,5,world,21.760573525481206
1,6,investment,21.640588439562354
1,7,reduction act,20.54848296480771
1,8,climate,18.142504886285057
1,9,years,15.755489422691616
1,10,manufacturing,15.14360938058465
1,11,global,14.14219335776429
1,12,market,12.99664366602687
1,13,america,12.977017793767875
1,14,economy,12.204500754961579
1,15,europe,12.142906065232365
2,1,act,19.368741135813313
2,2,tax,16.36028414940509
2,3,taxes,16.063646980362254
2,4,irs,11.142413201738982
2,5,dollars,8.970588251193892
2,6,president,8.846722926685437
2,7,paying,8.766633463332187
2,8,people,8.497832153928977
2,9,thousand,8.143261025038159
2,10,corporations,7.896308989851796
2,11,making,7.779535639734425
2,12,year,7.512607054110488
2,13,explain,7.141769596197374
2,14,fact,6.325063688741086
2,15,ll,6.143057393104999
3,1,rates,29.0328683624033
3,2,economy,27.2503176440633
3,3,fed,25.651341771393987
3,4,federal,24.528971094681506
3,5,rate,21.48551996026018
3,6,reserve,14.651646851165012
3,7,federal reserve,13.594921239424494
3,8,demand,13.233498978407896
3,9,year,9.182033627949867
3,10,higher,8.736993415507968
3,11,prices,8.135286968938729
3,12,borrowing,7.784449075794478
3,13,range,7.562011021724878
3,14,lower,7.48903131310632
3,15,ll,6.774407856961339
4,1,prices,42.411442033245564
4,2,people,31.174089473087793
4,3,money,28.016272845263483
4,4,raise,17.769869326213225
4,5,raise prices,15.738844200096741
4,6,corporate,14.697193610626993
4,7,year,14.654461197983084
4,8,corporations,14.388952819094802
4,9,spending,14.236816387066659
4,10,profits,14.142893304386213
4,11,pay,13.619814351205589
4,12,wages,12.432353461009273
4,13,away,12.059359722563427
4,14,higher,10.600015321076151
4,15,double,10.541450532658871
5,1,rates,55.195541397708986
5,2,central,45.314430972823715
5,3,rate,36.41005930632351
5,4,bank,32.902484229081566
5,5,banks,30.392319751136835
5,6,central bank,26.170742628044845
5,7,prices,21.424635953536995
5,8,money,21.417848540550743
5,9,raise,16.148368103810764
5,10,economy,15.658255237895348
5,11,central banks,15.651469894940709
5,12,make,15.261144451488919
5,13,rise,14.851041196096142
5,14,means,14.664584164961878
5,15,economic,13.586089622097102
6,1,prices,49.67356337948499
6,2,high,24.18915898647197
6,3,higher,22.088306380173513
6,4,rates,20.79718941493385
6,5,price,19.91350533914855
6,6,people,19.176287863977695
6,7,year,18.408015241893853
6,8,central,17.64540989049397
6,9,rising,16.78016823495441
6,10,energy,14.76277575845077
6,11,economy,14.120485273616364
6,12,rate,13.260500721258115
6,13,goods,13.216100984253075
6,14,cpi,13.141010994568838
6,15,central banks,12.633401487879889
