video_id,Influencer/Mainstream,ttr,cttr,mtld_score,pct_long_words,pct_rare_words,flesch_reading_ease,fk_grade,smog_index,rate_noun,rate_verb,rate_adj,rate_adv,content_function_ratio,mean_tokens_per_sentence,std_tokens_per_sentence,mean_dep_tree_depth,mean_subordination_index,mean_verbs_per_sentence,mean_chars_per_token
zIbNJCSCEjk,1.0,0.2791712104689204,8.453864789552979,61.92325395061584,0.22246455834242093,0.019629225736095966,79.90499620691293,4.944102697833198,8.91237667766594,0.20174482006543076,0.14830970556161396,0.06597600872410032,0.059432933478735,1.0153846153846153,11.391304347826088,9.31916739346238,101.0,0.7391304347826086,2.4906832298136647,4.132497273718648
nKTwz9mdsFw,1.0,0.37926675094816686,7.542546827314036,72.59409814416769,0.2553729456384324,0.011378002528445006,-115.38011219974712,78.47914981036662,30.377163096300993,0.23008849557522124,0.14791403286978508,0.07206068268015171,0.05941845764854614,1.1553133514986376,197.75,122.558914404461,101.0,13.25,39.25,4.347661188369153
867AUDQ9DQc,1.0,0.3917525773195876,8.184723008242214,93.20196583903902,0.2898052691867125,0.01718213058419244,61.34542096219934,8.719123711340206,12.060818386365153,0.2313860252004582,0.12714776632302405,0.07101947308132875,0.06643757159221077,1.108695652173913,16.166666666666668,7.166666666666667,101.0,1.1851851851851851,3.1481481481481484,4.552119129438717
xzNkKONrwRU,1.0,0.5618556701030928,5.533636599978224,52.62219419924338,0.31443298969072164,0.020618556701030927,-15.467422680412326,39.51422680412371,22.076135915942103,0.13402061855670103,0.18041237113402062,0.05670103092783505,0.061855670103092786,0.9595959595959596,97.0,86.0,101.0,12.0,28.5,4.505154639175258
R8VBRCs2jTU,2.0,0.16393442622950818,5.65395552819034,76.15489453284962,0.2681799075241698,0.009667927700714587,25.091806431273653,23.831189275205677,18.19210833167133,0.2328709541824296,0.1580496006725515,0.10382513661202186,0.055065153425809164,1.303000968054211,56.642857142857146,70.95465400641503,101.0,4.166666666666667,11.904761904761905,4.538881883144178
oRdLvp6H3CU,2.0,0.4169570267131243,8.651230334178244,99.56627565982404,0.34146341463414637,0.041811846689895474,52.12682926829268,10.353914053426251,13.484332010920856,0.2497096399535424,0.13008130081300814,0.059233449477351915,0.056910569105691054,1.248041775456919,17.571428571428573,9.695359714832659,101.0,1.0204081632653061,3.2653061224489797,4.793263646922184
KZJm-Bt4rSs,1.0,0.25369902562251895,9.44326254566267,54.71505032362758,0.2327679538072898,0.01623962468422952,-9.829538072897833,38.36806306698689,20.463210770584585,0.18044027426921688,0.13966077228437387,0.05738000721761097,0.07398051245037893,1.0007220216606498,95.55172413793103,130.5993045888695,101.0,9.655172413793103,20.517241379310345,4.273547455792133
q5dy-NtVeF0,1.0,0.12677304964539007,6.732114470820216,68.05292020255087,0.2902482269503546,0.04379432624113475,42.218863636363636,15.331627981947133,16.183182635938426,0.21843971631205675,0.10797872340425532,0.09131205673758866,0.06790780141843972,1.0233225690706853,32.04545454545455,130.7057685562665,101.0,2.772727272727273,5.261363636363637,4.596099290780142
F0VaaZdH1x0,3.0,0.4043778801843318,8.424269580939955,73.69898462227728,0.2764976958525346,0.020737327188940093,71.45948401061305,6.5593674067867624,9.910423181423305,0.23271889400921658,0.15668202764976957,0.07373271889400922,0.07373271889400922,1.1974683544303797,13.151515151515152,7.572362875780433,101.0,0.8333333333333334,2.8636363636363638,4.457373271889401
wZDE-SWZAuE,1.0,0.28347620455217265,11.658766662163146,85.06934460887948,0.37185929648241206,0.031628731894767954,-182.5000731599172,98.74524576664837,43.147459973891976,0.24534436890334024,0.11291752882057346,0.10050251256281408,0.046112917528820574,1.3444213444213444,241.64285714285714,363.7783090884685,101.0,13.857142857142858,38.714285714285715,5.009459060005912
Khou5Qz4A4E,2.0,0.6359447004608295,6.624211978175007,231.17105125621003,0.31336405529953915,0.013824884792626729,-146.75271889400918,87.63723502304148,34.936325122603826,0.29493087557603687,0.16129032258064516,0.05069124423963134,0.07834101382488479,1.6790123456790123,217.0,0.0,101.0,11.0,42.0,4.751152073732719
XzY_SHNxWXQ,2.0,0.22653721682847897,7.449940813387536,121.26936168996406,0.3106796116504854,0.03005085529357374,51.544376764297965,12.391680726659597,13.460468942947205,0.2274618585298197,0.1423948220064725,0.07951918631530282,0.04946833102172908,1.2696747114375655,25.44705882352941,62.52632497499667,101.0,1.7647058823529411,5.458823529411765,4.740175681923255
